12	In	UG	2052	470	2522
1	Out	GR	630	143.5	773.5
1	In	GR	414	143.5	557.5
1	Out	GR	630	143.5	773.5
1	In	UG	171	138.5	309.5
20	Out	GR	12368	470	12838
20	In	GR	7208	470	7678
20	Out	UG	11400	470	11870
20	In	UG	3420	470	3890
12	In	GR	4968	470	5438
12	Out	UG	6840	470	7310
12	Out	GR	7560	470	8030
8	In	UG	1368	463.0	1831.0
8	In	GR	3312	463	3375
8	Out	UG	4560	463.0	5023.0
8	Out	GR	5040	463	5503
18	In	UG	3078	470	3548
18	In	GR	6648	470	7718
18 	Out	UG	10260	470	10730
18	Out	GR	11166	470	11636
4	In	UG	684	188.0	872.0
4	In	GR	1656	208.0	1864.0
4	Out	UG	2280	188.0	2468.0
4	Out	GR	2520	208.0	2728.0
100	Out	GR	60448	470	60918
